Money;Date
196.77;2021-04-12 15:27:13.036308
196.77;2021-04-12 15:32:48.732880
197.02;2021-04-12 16:00:32.431835
197.02;2021-04-12 16:06:33.531551
197.02;2021-04-12 16:12:51.965331
197.02;2021-04-12 16:23:57.548491
197.97;2021-04-12 16:30:55.834063
198.35;2021-04-12 16:39:01.987991
196.37;2021-04-12 16:42:08.601735
197.27;2021-04-12 16:42:29.713615
197.27;2021-04-12 16:47:16.393159
197.27;2021-04-12 16:53:16.504628
195.30;2021-04-12 16:54:59.653507
195.30;2021-04-12 16:58:24.114385
195.65;2021-04-12 17:00:07.148179
196.04;2021-04-12 17:00:54.475985
194.08;2021-04-12 17:05:26.719409
194.20;2021-04-12 17:07:22.750495
194.31;2021-04-12 17:08:04.889962
194.41;2021-04-12 17:08:24.645735
194.51;2021-04-12 17:08:59.986758
194.62;2021-04-12 17:09:47.969701
193.62;2021-04-12 17:11:21.955425
192.62;2021-04-12 17:12:17.704154
192.74;2021-04-12 17:13:07.002845
192.84;2021-04-12 17:14:04.913276
191.84;2021-04-12 17:14:44.684203
191.84;2021-04-12 17:17:03.439607
191.84;2021-04-12 18:58:16.515533
190.84;2021-04-12 19:00:23.632227
191.18;2021-04-12 19:01:05.529512
191.59;2021-04-12 19:02:02.856204
192.01;2021-04-12 19:02:24.359738
192.45;2021-04-12 19:02:48.213945
192.88;2021-04-12 19:03:50.241419
193.29;2021-04-12 19:04:16.782914
193.69;2021-04-12 19:04:37.206757
194.05;2021-04-12 19:05:07.380121
194.46;2021-04-12 19:06:01.507526
193.46;2021-04-12 19:06:27.966517
193.84;2021-04-12 19:07:50.495541
194.24;2021-04-12 19:08:15.568305
194.64;2021-04-12 19:09:33.204903
193.64;2021-04-12 19:10:01.599759
193.64;2021-04-12 19:10:46.136653
194.05;2021-04-12 19:11:08.562143
193.05;2021-04-12 19:11:30.341569
193.45;2021-04-12 19:12:10.297272
193.84;2021-04-12 19:13:07.078109
192.84;2021-04-12 19:13:55.151654
193.25;2021-04-12 19:14:38.540102
193.63;2021-04-12 19:15:01.409951
192.63;2021-04-12 19:15:24.347960
191.63;2021-04-12 19:16:16.479916
192.03;2021-04-12 19:16:53.355982
191.03;2021-04-12 19:17:12.419726
191.44;2021-04-12 19:18:36.972132
191.81;2021-04-12 19:19:17.406473
192.22;2021-04-12 19:19:39.774464
192.61;2021-04-12 19:20:21.983638
191.61;2021-04-12 19:20:55.688379
190.61;2021-04-12 19:21:29.028317
192.57;2021-04-12 19:22:13.097428
192.57;2021-04-12 19:22:35.921378
193.01;2021-04-12 19:23:19.928301
193.06;2021-04-12 19:26:34.230968
193.06;2021-04-12 19:53:20.540032
193.06;2021-04-12 20:00:10.121277
193.06;2021-04-13 08:05:19.456888
193.06;2021-04-13 21:34:06.607529
193.93;2021-04-13 21:39:26.951132
192.93;2021-04-13 21:40:01.180625
193.84;2021-04-13 21:40:56.825079
194.71;2021-04-13 21:41:20.545825
193.71;2021-04-13 21:42:09.578200
194.66;2021-04-13 21:42:45.682475
194.66;2021-04-13 21:43:13.661586
204.45;2021-04-13 21:44:09.646233
203.43;2021-04-13 21:44:34.436005
203.43;2021-04-13 21:52:32.366009
202.41;2021-04-13 21:57:08.765475
203.49;2021-04-13 21:58:54.573066
203.49;2021-04-13 21:59:23.730014
202.47;2021-04-13 22:02:45.152756
